"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"71560099999","2025-01-01","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","   9.1"," 8","   4.4"," 8","1021.9"," 8","989.7"," 8","999.9"," 0"," 10.9"," 8"," 15.0","999.9","  23.5"," ","   1.0"," "," 0.00","G","  3.9","000000"
"71560099999","2025-01-02","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","   4.6"," 8","  -0.8"," 8","1027.6"," 8","994.6"," 8","999.9"," 0","  9.7"," 8"," 13.0","999.9","  11.3"," ","   1.0"," "," 0.00","G","  4.3","000000"
"71560099999","2025-01-03","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","  -4.5"," 8","  -9.9"," 8","1037.5"," 8","003.3"," 8","999.9"," 0"," 12.5"," 8"," 15.0","999.9","   7.3"," "," -10.7"," "," 0.00","G","  3.9","000000"
"71560099999","2025-01-04","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA"," -12.2"," 8"," -17.3"," 8","1042.7"," 8","007.5"," 8","999.9"," 0","  8.4"," 8","  9.9","999.9","  -1.7"," "," -16.2"," "," 0.00","G","  4.3","000000"
"71560099999","2025-01-05","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA"," -13.9"," 8"," -19.7"," 8","1043.8"," 8","008.1"," 8","999.9"," 0","  7.5"," 8","  9.9","999.9","  -7.4","*"," -17.3","*"," 0.00","G","  4.3","000000"
"71560099999","2025-01-06","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","  -9.4"," 8"," -16.3"," 8","1039.8"," 8","004.5"," 8","999.9"," 0","  3.5"," 8","  6.0","999.9","   4.3","*"," -15.9","*"," 0.00","G","  3.9","000000"
"71560099999","2025-01-07","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","  -0.1"," 7","  -5.0"," 7","1040.5"," 7","006.2"," 7","999.9"," 0","  8.3"," 7"," 14.0","999.9","   5.5"," "," -15.9"," "," 0.00","G","  3.9","000000"
"71560099999","2025-01-08","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","   6.3"," 8","   1.5"," 8","1028.3"," 8","995.1"," 8","999.9"," 0"," 11.3"," 8"," 15.2","999.9","  13.6","*","   3.0","*"," 0.00","I","  3.9","000000"
"71560099999","2025-01-09","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","  20.5"," 7","  17.7"," 7","1013.4"," 7","981.8"," 7","999.9"," 0","  8.0"," 7"," 13.0","999.9","  31.5"," ","   3.0"," "," 0.07","G","  4.7","000000"
"71560099999","2025-01-10","49.0","-97.2333333","242.0","EMERSON AUT MAN, CA","  14.3"," 8","  10.3"," 8","1019.2"," 8","987.6"," 8","999.9"," 0"," 12.9"," 8"," 20.0","999.9","  31.8"," ","   8.4"," "," 0.01","G","  5.1","000000"
